Key,English,Korean
EQUIPMENT_DESCRIPTION_10133000,Solid sword for war. Elemental attacks are possible.,전쟁을 대비하여 견고하게 제련된 검. 속성 공격이 가능하다.
EQUIPMENT_DESCRIPTION_10134000,Solid sword for war. Elemental attacks are possible.,전쟁을 대비하여 견고하게 제련된 검. 속성 공격이 가능하다.
EQUIPMENT_DESCRIPTION_10200000,A누더기.,누더기.
EQUIPMENT_DESCRIPTION_10210000,Light clothes. It seems hard to fend off a strong threat.,가벼운 활동복. 강력한 위협을 막아내기는 어려워 보인다.
EQUIPMENT_DESCRIPTION_10211000,Light clothes. It seems hard to fend off a strong threat. Elemental defense is possible.,가벼운 활동복. 강력한 위협을 막아내기는 어려워 보인다. 속성 방어가 가능하다.
EQUIPMENT_DESCRIPTION_10212000,Light clothes. It seems hard to fend off a strong threat. Elemental defense is possible.,가벼운 활동복. 강력한 위협을 막아내기는 어려워 보인다. 속성 방어가 가능하다.
EQUIPMENT_DESCRIPTION_10213000,Light clothes. It seems hard to fend off a strong threat. Elemental defense is possible.,가벼운 활동복. 강력한 위협을 막아내기는 어려워 보인다. 속성 방어가 가능하다.
EQUIPMENT_DESCRIPTION_10214000,Light clothes. It seems hard to fend off a strong threat. Elemental defense is possible.,가벼운 활동복. 강력한 위협을 막아내기는 어려워 보인다. 속성 방어가 가능하다.
EQUIPMENT_DESCRIPTION_10220000,"A light, pretty leather dress, allegedly made by a fairy.",요정이 만들었다고 전해지는 가볍고 예쁜 가죽옷. 
EQUIPMENT_DESCRIPTION_10221000,"A light, pretty leather dress, allegedly made by a fairy. Elemental defense is possible.","요정이 만들었다고 전해지는, 가볍고 예쁜 가죽옷. 속성 방어가 가능하다."
EQUIPMENT_DESCRIPTION_10222000,"A light, pretty leather dress, allegedly made by a fairy. Elemental defense is possible.","요정이 만들었다고 전해지는, 가볍고 예쁜 가죽옷. 속성 방어가 가능하다."
EQUIPMENT_DESCRIPTION_10223000,"A light, pretty leather dress, allegedly made by a fairy. Elemental defense is possible.","요정이 만들었다고 전해지는, 가볍고 예쁜 가죽옷. 속성 방어가 가능하다."
EQUIPMENT_DESCRIPTION_10224000,"A light, pretty leather dress, allegedly made by a fairy. Elemental defense is possible.","요정이 만들었다고 전해지는, 가볍고 예쁜 가죽옷. 속성 방어가 가능하다."
EQUIPMENT_DESCRIPTION_10230000,Armor tempered several times in preparation for war.,전쟁을 대비하여 여러 번 담금질한 갑옷.
EQUIPMENT_DESCRIPTION_10231000,Armor tempered several times in preparation for war. Elemental defense is possible.,전쟁을 대비하여 여러 번 담금질한 갑옷. 속성 방어가 가능하다.
EQUIPMENT_DESCRIPTION_10232000,Armor tempered several times in preparation for war. Elemental defense is possible.,전쟁을 대비하여 여러 번 담금질한 갑옷. 속성 방어가 가능하다.
EQUIPMENT_DESCRIPTION_10233000,Armor tempered several times in preparation for war. Elemental defense is possible.,전쟁을 대비하여 여러 번 담금질한 갑옷. 속성 방어가 가능하다.
EQUIPMENT_DESCRIPTION_10234000,Armor tempered several times in preparation for war. Elemental defense is possible.,전쟁을 대비하여 여러 번 담금질한 갑옷. 속성 방어가 가능하다.
EQUIPMENT_DESCRIPTION_10310000,Belt with simple style.,심플한 멋이 있는 허리끈
EQUIPMENT_DESCRIPTION_10311000,Belt with simple style.,심플한 멋이 있는 허리끈
EQUIPMENT_DESCRIPTION_10312000,Belt with simple style.,심플한 멋이 있는 허리끈
EQUIPMENT_DESCRIPTION_10313000,Belt with simple style.,심플한 멋이 있는 허리끈
EQUIPMENT_DESCRIPTION_10314000,Belt with simple style.,심플한 멋이 있는 허리끈
EQUIPMENT_DESCRIPTION_10320000,Slender belt made of light leather,가벼운 가죽으로 만든 가느다란 벨트
EQUIPMENT_DESCRIPTION_10321000,Slender belt made of light leather,가벼운 가죽으로 만든 가느다란 벨트
EQUIPMENT_DESCRIPTION_10322000,Slender belt made of light leather,가벼운 가죽으로 만든 가느다란 벨트
EQUIPMENT_DESCRIPTION_10323000,Slender belt made of light leather,가벼운 가죽으로 만든 가느다란 벨트
EQUIPMENT_DESCRIPTION_10324000,Slender belt made of light leather,가벼운 가죽으로 만든 가느다란 벨트
EQUIPMENT_DESCRIPTION_10330000,Robustly crafted belt for war,전쟁을 대비하여 견고하게 제작된 벨트
EQUIPMENT_DESCRIPTION_10331000,Robustly crafted belt for war,전쟁을 대비하여 견고하게 제작된 벨트
EQUIPMENT_DESCRIPTION_10332000,Robustly crafted belt for war,전쟁을 대비하여 견고하게 제작된 벨트
EQUIPMENT_DESCRIPTION_10333000,Robustly crafted belt for war,전쟁을 대비하여 견고하게 제작된 벨트
EQUIPMENT_DESCRIPTION_10334000,Robustly crafted belt for war,전쟁을 대비하여 견고하게 제작된 벨트
EQUIPMENT_DESCRIPTION_10410000,A낡은 목걸이,낡은 목걸이
EQUIPMENT_DESCRIPTION_10411000,A낡은 목걸이(불),낡은 목걸이(불)
EQUIPMENT_DESCRIPTION_10412000,A낡은 목걸이(물),낡은 목걸이(물)
EQUIPMENT_DESCRIPTION_10413000,A낡은 목걸이(땅),낡은 목걸이(땅)
EQUIPMENT_DESCRIPTION_10414000,A낡은 목걸이(바람),낡은 목걸이(바람)
EQUIPMENT_DESCRIPTION_10420000,A버려진 목걸이,버려진 목걸이
EQUIPMENT_DESCRIPTION_10421000,A버려진 목걸이(불),버려진 목걸이(불)
EQUIPMENT_DESCRIPTION_10422000,A버려진 목걸이(물),버려진 목걸이(물)
EQUIPMENT_DESCRIPTION_10423000,A버려진 목걸이(땅),버려진 목걸이(땅)
EQUIPMENT_DESCRIPTION_10424000,A버려진 목걸이(바람),버려진 목걸이(바람)
EQUIPMENT_DESCRIPTION_10430000,A영험한 기운의 목걸이,영험한 기운의 목걸이
EQUIPMENT_DESCRIPTION_10431000,A영험한 기운의 목걸이(불),영험한 기운의 목걸이(불)
EQUIPMENT_DESCRIPTION_10432000,A영험한 기운의 목걸이(물),영험한 기운의 목걸이(물)
EQUIPMENT_DESCRIPTION_10433000,A영험한 기운의 목걸이(땅),영험한 기운의 목걸이(땅)
EQUIPMENT_DESCRIPTION_10434000,A영험한 기운의 목걸이(바람),영험한 기운의 목걸이(바람)
EQUIPMENT_DESCRIPTION_10510000,A낡은 반지,낡은 반지
EQUIPMENT_DESCRIPTION_10511000,A낡은 반지(불),낡은 반지(불)
EQUIPMENT_DESCRIPTION_10512000,A낡은 반지(물),낡은 반지(물)
EQUIPMENT_DESCRIPTION_10513000,A낡은 반지(땅),낡은 반지(땅)
EQUIPMENT_DESCRIPTION_10514000,A낡은 반지(바람),낡은 반지(바람)
EQUIPMENT_DESCRIPTION_10520000,A버려진 반지,버려진 반지
EQUIPMENT_DESCRIPTION_10521000,A버려진 반지(불),버려진 반지(불)
EQUIPMENT_DESCRIPTION_10522000,A버려진 반지(물),버려진 반지(물)
EQUIPMENT_DESCRIPTION_10523000,A버려진 반지(땅),버려진 반지(땅)
EQUIPMENT_DESCRIPTION_10524000,A버려진 반지(바람),버려진 반지(바람)
EQUIPMENT_DESCRIPTION_10530000,A영험한 기운의 반지,영험한 기운의 반지
EQUIPMENT_DESCRIPTION_10531000,A영험한 기운의 반지(불),영험한 기운의 반지(불)
EQUIPMENT_DESCRIPTION_10532000,A영험한 기운의 반지(물),영험한 기운의 반지(물)
EQUIPMENT_DESCRIPTION_10533000,A영험한 기운의 반지(땅),영험한 기운의 반지(땅)
EQUIPMENT_DESCRIPTION_10534000,A영험한 기운의 반지(바람),영험한 기운의 반지(바람)
EQUIPMENT_DESCRIPTION_105000,A,가
EQUIPMENT_DESCRIPTION_105001,A,가
EQUIPMENT_DESCRIPTION_105002,A,가
EQUIPMENT_DESCRIPTION_200000,A맛 없는 요리,맛 없는 요리
EQUIPMENT_DESCRIPTION_201000,A cat's eternal friend. It has the effect of supplementing the physical strength a little.,고양이의 영원한 친구. 체력을 조금 보충하는 효과가 있다.
EQUIPMENT_DESCRIPTION_201001,Omelet made by roughly mixing egg and rice. The effects are not very good.,달걀과 밥을 대충 섞어 만든 오므라이스. 대충 만들어서 효과는 별로다.
EQUIPMENT_DESCRIPTION_201002,"The harmony of eggs, rice and ingredients is wonderful. It works better than a roughly cooked dish.",달걀과 밥 그리고 재료의 조화가 훌륭하다. 대충 만든 요리보다 효과가 좋다.
EQUIPMENT_DESCRIPTION_201003,Roughly roasted rice and meat. There seems to be a way to make it more delicious.,쌀과 고기를 대충 볶았다. 더 맛있게 만들 수 있는 방법이 있을 것 같다.
EQUIPMENT_DESCRIPTION_201004,Fried rice and meat well. It is made delicious and the effect is good.,쌀과 고기를 잘 볶았다. 맛있게 만들어져서 효과도 좋다.
EQUIPMENT_DESCRIPTION_201005,Steak made with the least amount of meat. The recovery effect is great.,고기를 최소한의 재료로 구워낸 스테이크. 체력 회복 효과가 크다.
EQUIPMENT_DESCRIPTION_201006,Best steak with good meat and spices. There is no better food than this!,좋은 고기와 향신료가 곁들여진 최고의 스테이크. 이보다 더 좋은 음식은 없을듯!
EQUIPMENT_DESCRIPTION_202000,"Baked the eggs in olive oil. When you eat, mood improves and damage increases during 1 stage.",올리브유에 달걀을 지글지글 구워냈다. 먹고 나면 기분이 좋아져 한 스테이지동안 공격력이 향상된다.
EQUIPMENT_DESCRIPTION_202001,She likes the fragrant herb tea. The critical probability increases during 1 stage.,고양이가 좋아하는 향긋하고 은은한 허브티. 크리티컬 확률이 증가된다.
