id,_name,item_sub_type,grade,elemental_type,set_id,stat_type,stat_value,attack_range,spine_resource_path
10151000,다인슬레이프(불),Weapon,5,Fire,17,ATK,442,2,10151000
10152000,다인슬레이프(물),Weapon,5,Water,18,ATK,496,2,10152000
10153000,다인슬레이프(땅),Weapon,5,Land,19,ATK,1071,2,10153000
10154000,다인슬레이프(바람),Weapon,5,Wind,20,ATK,1730,2,10154000
10150001,수르트의 검,Weapon,5,Normal,16,ATK,765,2,10150001
10151001,수르트의 검(불),Weapon,5,Fire,17,ATK,778,2,10151001
10152001,수르트의 검(물),Weapon,5,Water,18,ATK,826,2,10152001
10153001,수르트의 검(땅),Weapon,5,Land,19,ATK,1513,2,10153001
10154001,수르트의 검(바람),Weapon,5,Wind,20,ATK,2335,2,10154001
10155000,발키리의 검,Weapon,5,Normal,15,ATK,1307,2,10155000
10200000,누더기,Armor,0,Normal,0,HP,30,2,Character/Player/10200000
10210000,옷,Armor,1,Normal,1,HP,108,2,Character/Player/10210000
10211000,옷(불),Armor,1,Fire,2,HP,133,2,Character/Player/10211000
10212000,옷(물),Armor,1,Water,3,HP,166,2,Character/Player/10212000
10213000,옷(땅),Armor,1,Land,4,HP,366,2,Character/Player/10213000
10214000,옷(바람),Armor,1,Wind,5,HP,893,2,Character/Player/10214000
10220000,가죽 옷,Armor,2,Normal,6,HP,251,2,Character/Player/10220000
10221000,가죽 옷(불),Armor,2,Fire,7,HP,260,2,Character/Player/10221000
10222000,가죽 옷(물),Armor,2,Water,8,HP,304,2,Character/Player/10222000
10223000,가죽 옷(땅),Armor,2,Land,9,HP,992,2,Character/Player/10223000
10224000,가죽 옷(바람),Armor,2,Wind,10,HP,2044,2,Character/Player/10224000
10230000,가죽 옷,Armor,3,Normal,11,HP,655,2,Character/Player/10230000
10231000,가죽 옷(불),Armor,3,Fire,12,HP,675,2,Character/Player/10231000
10232000,가죽 옷(물),Armor,3,Water,13,HP,794,2,Character/Player/10232000
10233000,가죽 옷(땅),Armor,3,Land,14,HP,2242,2,Character/Player/10233000
10234000,가죽 옷(바람),Armor,3,Wind,15,HP,4464,2,Character/Player/10234000
10230001,미늘 갑옷,Armor,3,Normal,11,HP,1377,2,Character/Player/10230001
10231001,미늘 갑옷(불),Armor,3,Fire,12,HP,1409,2,Character/Player/10231001
10232001,미늘 갑옷(물),Armor,3,Water,13,HP,1539,2,Character/Player/10232001
10233001,미늘 갑옷(땅),Armor,3,Land,14,HP,3827,2,Character/Player/10233001
10234001,미늘 갑옷(바람),Armor,3,Wind,15,HP,7235,2,Character/Player/10234001
10240000,전쟁 갑옷,Armor,4,Normal,11,HP,2530,2,Character/Player/10240000
10241000,전쟁 갑옷(불),Armor,4,Fire,12,HP,2579,2,Character/Player/10241000
10242000,전쟁 갑옷(물),Armor,4,Water,13,HP,2778,2,Character/Player/10242000
10243000,전쟁 갑옷(땅),Armor,4,Land,14,HP,6428,2,Character/Player/10243000
10244000,전쟁 갑옷(바람),Armor,4,Wind,15,HP,12656,2,Character/Player/10244000
10240001,폭풍 갑옷,Armor,4,Normal,11,HP,4155,2,Character/Player/10240001
10241001,폭풍 갑옷(불),Armor,4,Fire,12,HP,4228,2,Character/Player/10241001
10242001,폭풍 갑옷(물),Armor,4,Water,13,HP,4447,2,Character/Player/10242001
10243001,폭풍 갑옷(땅),Armor,4,Land,14,HP,11154,2,Character/Player/10243001
10244001,폭풍 갑옷(바람),Armor,4,Wind,15,HP,19410,2,Character/Player/10244001
10250000,전설의 갑옷,Armor,5,Normal,11,HP,7083,2,Character/Player/10250000
10251000,전설의 갑옷(불),Armor,5,Fire,12,HP,7202,2,Character/Player/10251000
10252000,전설의 갑옷(물),Armor,5,Water,13,HP,7797,2,Character/Player/10252000
10253000,전설의 갑옷(땅),Armor,5,Land,14,HP,16317,2,Character/Player/10253000
10254000,전설의 갑옷(바람),Armor,5,Wind,15,HP,26316,2,Character/Player/10254000
10250001,고대의 갑옷,Armor,5,Normal,11,HP,12029,2,Character/Player/10250001
10251001,고대의 갑옷(불),Armor,5,Fire,12,HP,12211,2,Character/Player/10251001
10252001,고대의 갑옷(물),Armor,5,Water,13,HP,12575,2,Character/Player/10252001
10253001,고대의 갑옷(땅),Armor,5,Land,14,HP,23018,2,Character/Player/10253001
10254001,고대의 갑옷(바람),Armor,5,Wind,15,HP,35511,2,Character/Player/10254001
10255000,발키리의 갑옷,Armor,5,Normal,11,HP,19866,2,Character/Player/10235000
10310000,장식띠,Belt,1,Normal,1,SPD,28,2,10310000
10311000,장식띠(불),Belt,1,Fire,2,SPD,34,2,10311000
10312000,장식띠(물),Belt,1,Water,3,SPD,41,2,10312000
10313000,장식띠(땅),Belt,1,Land,4,SPD,96,2,10313000
10314000,장식띠(바람),Belt,1,Wind,5,SPD,250,2,10314000
10320000,가죽 벨트,Belt,2,Normal,6,SPD,65,2,10320000
10321000,가죽 벨트(불),Belt,2,Fire,7,SPD,67,2,10321000
10322000,가죽 벨트(물),Belt,2,Water,8,SPD,79,2,10322000
10323000,가죽 벨트(땅),Belt,2,Land,9,SPD,287,2,10323000
10324000,가죽 벨트(바람),Belt,2,Wind,10,SPD,683,2,10324000
10330000,전쟁 벨트,Belt,3,Normal,11,SPD,171,2,10330000
10331000,전쟁 벨트(불),Belt,3,Fire,12,SPD,176,2,10331000
10332000,전쟁 벨트(물),Belt,3,Water,13,SPD,204,2,10332000
10333000,전쟁 벨트(땅),Belt,3,Land,14,SPD,778,2,10333000
10334000,전쟁 벨트(바람),Belt,3,Wind,15,SPD,1764,2,10334000
10340000,전쟁 벨트,Belt,4,Normal,11,SPD,486,2,10340000
10341000,전쟁 벨트(불),Belt,4,Fire,12,SPD,495,2,10341000
10342000,전쟁 벨트(물),Belt,4,Water,13,SPD,579,2,10342000
10343000,전쟁 벨트(땅),Belt,4,Land,14,SPD,1906,2,10343000
10344000,전쟁 벨트(바람),Belt,4,Wind,15,SPD,3094,2,10344000
10350000,전설의 벨트,Belt,5,Normal,11,SPD,1333,2,10350000
10351000,전설의 벨트(불),Belt,5,Fire,12,SPD,1354,2,10351000
10352000,전설의 벨트(물),Belt,5,Water,13,SPD,1625,2,10352000
10353000,전설의 벨트(땅),Belt,5,Land,14,SPD,3865,2,10353000
10354000,전설의 벨트(바람),Belt,5,Wind,15,SPD,6226,2,10354000
10410000,얇은 목걸이,Necklace,1,Normal,1,HIT,42,0,10410000
10411000,얇은 목걸이(불),Necklace,1,Fire,2,HIT,46,0,10411000
10412000,얇은 목걸이(물),Necklace,1,Water,3,HIT,59,0,10412000
10413000,얇은 목걸이(땅),Necklace,1,Land,4,HIT,139,0,10413000
10414000,얇은 목걸이(바람),Necklace,1,Wind,5,HIT,353,0,10414000
10420000,수호의 목걸이,Necklace,2,Normal,6,HIT,94,0,10420000
10421000,수호의 목걸이(불),Necklace,2,Fire,7,HIT,97,0,10421000
10422000,수호의 목걸이(물),Necklace,2,Water,8,HIT,112,0,10422000
10423000,수호의 목걸이(땅),Necklace,2,Land,9,HIT,401,0,10423000
10424000,수호의 목걸이(바람),Necklace,2,Wind,10,HIT,952,0,10424000
10430000,전사의 목걸이,Necklace,3,Normal,11,HIT,250,0,10430000
10431000,전사의 목걸이(불),Necklace,3,Fire,12,HIT,256,0,10431000
10432000,전사의 목걸이(물),Necklace,3,Water,13,HIT,292,0,10432000
10433000,전사의 목걸이(땅),Necklace,3,Land,14,HIT,1107,0,10433000
10434000,전사의 목걸이(바람),Necklace,3,Wind,15,HIT,2375,0,10434000
10440000,전사의 목걸이,Necklace,4,Normal,11,HIT,685,0,10440000
10441000,전사의 목걸이(불),Necklace,4,Fire,12,HIT,699,0,10441000
10442000,전사의 목걸이(물),Necklace,4,Water,13,HIT,863,0,10442000
10443000,전사의 목걸이(땅),Necklace,4,Land,14,HIT,2571,0,10443000
10444000,전사의 목걸이(바람),Necklace,4,Wind,15,HIT,4158,0,10444000
10450000,전설의 목걸이,Necklace,5,Normal,11,HIT,1866,0,10450000
10451000,전설의 목걸이(불),Necklace,5,Fire,12,HIT,1897,0,10451000
10452000,전설의 목걸이(물),Necklace,5,Water,13,HIT,2196,0,10452000
10453000,전설의 목걸이(땅),Necklace,5,Land,14,HIT,5042,0,10453000
10454000,전설의 목걸이(바람),Necklace,5,Wind,15,HIT,8116,0,10454000
10510000,얇은 반지,Ring,1,Normal,1,DEF,11,0,10510000
10511000,얇은 반지(불),Ring,1,Fire,2,DEF,12,0,10511000
10512000,얇은 반지(물),Ring,1,Water,3,DEF,16,0,10512000
10513000,얇은 반지(땅),Ring,1,Land,4,DEF,34,0,10513000
10514000,얇은 반지(바람),Ring,1,Wind,5,DEF,86,0,10514000
10520000,수호의 반지,Ring,2,Normal,6,DEF,23,0,10520000
10521000,수호의 반지(불),Ring,2,Fire,7,DEF,24,0,10521000
10522000,수호의 반지(물),Ring,2,Water,8,DEF,28,0,10522000
10523000,수호의 반지(땅),Ring,2,Land,9,DEF,98,0,10523000
10524000,수호의 반지(바람),Ring,2,Wind,10,DEF,238,0,10524000
10530000,전사의 반지,Ring,3,Normal,11,DEF,62,0,10530000
10531000,전사의 반지(불),Ring,3,Fire,12,DEF,63,0,10531000
10532000,전사의 반지(물),Ring,3,Water,13,DEF,73,0,10532000
10533000,전사의 반지(땅),Ring,3,Land,14,DEF,267,0,10533000
10534000,전사의 반지(바람),Ring,3,Wind,15,DEF,554,0,10534000
10540000,전사의 반지,Ring,4,Normal,11,DEF,179,0,10540000
10541000,전사의 반지(불),Ring,4,Fire,12,DEF,182,0,10541000
10542000,전사의 반지(물),Ring,4,Water,13,DEF,205,0,10542000
10543000,전사의 반지(땅),Ring,4,Land,14,DEF,598,0,10543000
10544000,전사의 반지(바람),Ring,4,Wind,15,DEF,967,0,10544000
10550000,전설의 반지,Ring,5,Normal,11,DEF,449,0,10550000
10551000,전설의 반지(불),Ring,5,Fire,12,DEF,456,0,10551000
10552000,전설의 반지(물),Ring,5,Water,13,DEF,512,0,10552000
10553000,전설의 반지(땅),Ring,5,Land,14,DEF,1137,0,10553000
10554000,전설의 반지(바람),Ring,5,Wind,15,DEF,1828,0,10554000
