id,result_equipment_id,material_id,material_count,required_action_point,required_gold,required_block_index,unlock_stage,sub_recipe_id,sub_recipe_id_2,sub_recipe_id_3,required_crystal,item_sub_type
91,10323000,303201,22,0,0,5796,162,211,212,213,100,Belt
92,10324000,303201,45,0,0,20472,203,214,215,216,100,Belt
93,10330000,303202,10,0,0,389,87,433,434,435,100,Belt
94,10331000,303202,11,0,0,410,90,217,218,219,100,Belt
95,10332000,303202,14,0,0,1119,111,220,221,222,100,Belt
96,10333000,303202,58,0,0,26637,216,223,224,225,100,Belt
97,10334000,303202,126,0,0,185115,999,226,227,228,100,Belt
98,10340000,303203,26,0,0,9054,186,436,437,438,100,Belt
99,10341000,303203,28,0,0,10620,194,229,230,231,100,Belt
100,10342000,303203,76,0,0,36015,240,232,233,234,100,Belt
101,10343000,303203,76,0,0,36015,240,235,236,237,100,Belt
102,10344000,303203,76,0,0,36015,240,238,239,240,100,Belt
103,10350000,303204,91,0,0,80475,999,439,440,441,100,Belt
104,10351000,303204,92,0,0,82815,999,241,242,243,100,Belt
105,10352000,303204,93,0,0,85215,999,244,245,246,100,Belt
106,10353000,303204,94,0,0,87675,999,247,248,249,100,Belt
107,10354000,303204,94,0,0,90195,999,250,251,252,100,Belt
108,10410000,303300,2,0,0,5,15,442,443,444,100,Necklace
109,10411000,303300,2,0,0,11,21,253,254,255,100,Necklace
110,10412000,303300,4,0,0,53,31,256,257,258,100,Necklace
111,10413000,303300,15,0,0,368,84,259,260,261,100,Necklace
112,10414000,303300,20,0,0,4977,150,262,263,264,100,Necklace
113,10420000,303301,7,0,0,131,47,445,446,447,100,Necklace
114,10421000,303301,8,0,0,143,49,265,266,267,100,Necklace
115,10422000,303301,10,0,0,225,61,268,269,270,100,Necklace
116,10423000,303301,25,0,0,7728,178,271,272,273,100,Necklace
117,10424000,303301,43,0,0,19419,202,274,275,276,100,Necklace
118,10430000,303302,13,0,0,1005,102,448,449,450,100,Necklace
119,10431000,303302,13,0,0,1038,105,277,278,279,100,Necklace
120,10432000,303302,17,0,0,1409,126,280,281,282,100,Necklace
121,10433000,303302,55,0,0,25284,212,283,284,285,100,Necklace
122,10434000,303302,70,0,0,32649,232,286,287,288,100,Necklace
123,10440000,303303,77,0,0,9093,249,451,452,453,100,Necklace
124,10441000,303303,77,0,0,36375,249,289,290,291,100,Necklace
125,10442000,303303,77,0,0,36375,249,292,293,294,100,Necklace
126,10443000,303303,77,0,0,36375,249,295,296,297,100,Necklace
127,10444000,303303,77,0,0,36375,249,298,299,300,100,Necklace
128,10450000,303304,95,0,0,92775,999,454,455,456,100,Necklace
129,10451000,303304,96,0,0,95415,999,301,302,303,100,Necklace
130,10452000,303304,97,0,0,98115,999,304,305,306,100,Necklace
131,10453000,303304,98,0,0,100875,999,307,308,309,100,Necklace
132,10454000,303304,99,0,0,103695,999,310,311,312,100,Necklace
133,10510000,303400,2,0,0,5,17,457,458,459,100,Ring
134,10511000,303400,2,0,0,17,22,313,314,315,100,Ring
135,10512000,303400,5,0,0,61,33,316,317,318,100,Ring
136,10513000,303400,17,0,0,454,96,319,320,321,100,Ring
137,10514000,303400,24,0,0,6642,170,322,323,324,100,Ring
138,10520000,303401,8,0,0,168,53,460,461,462,100,Ring
139,10521000,303401,9,0,0,195,57,325,326,327,100,Ring
140,10522000,303401,12,0,0,292,72,328,329,330,100,Ring
141,10523000,303401,28,0,0,17493,198,331,332,333,100,Ring
142,10524000,303401,49,0,0,22758,205,334,335,336,100,Ring
143,10530000,303402,15,0,0,1220,117,463,464,465,100,Ring
144,10531000,303402,16,0,0,1278,120,337,338,339,100,Ring
145,10532000,303402,19,0,0,1731,142,340,341,342,100,Ring
146,10533000,303402,64,0,0,29523,224,343,344,345,100,Ring
147,10534000,303402,76,0,0,36075,243,346,347,348,100,Ring
148,10540000,303403,80,0,0,46275,999,466,467,468,100,Ring
149,10541000,303403,80,0,0,47415,999,349,350,351,100,Ring
150,10542000,303403,81,0,0,48615,999,352,353,354,100,Ring
151,10543000,303403,81,0,0,49875,999,355,356,357,100,Ring
152,10544000,303403,81,0,0,51195,999,358,359,360,100,Ring
153,10550000,303404,100,0,0,106575,999,469,470,471,100,Ring
154,10551000,303404,101,0,0,109515,999,361,362,363,100,Ring
155,10552000,303404,102,0,0,112515,999,364,365,366,100,Ring
156,10553000,303404,103,0,0,115575,999,367,368,369,100,Ring
157,10554000,303404,104,0,0,118695,999,370,371,372,100,Ring
